publication_date,publication_id,publication_title,speaker,party,bloc,speech_type,text
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kai Steffen Østensen,A,Left,hovedinnlegg,"Kai Steffen Østensen (A) [11:05:50]: Dette har vært en god debatt så langt om et viktig tema, og den har oppklart en viktig del av diskusjonen om hva som ligger i forslag til vedtak I i tilrådingen fra komiteen. Arbeiderpartiet er for at vi tar en helhetlig faglig gjennomgang av tilbudet innen psykisk helsevern. Vi støtter for så vidt at det fremmes en konkret og tidfestet plan for utvikling av psykisk helsevern-tilbudet i Norge, slik regjeringen også er i gang med, og som både helseministeren og undertegnede har redegjort for i denne debatten. I debatten tydeliggjøres det også at forslag til vedtak I i komiteens tilråding for flere partier handler om at den totale kapasiteten ikke skal bygges ned. Det gjør at Arbeiderpartiet nå varsler at vi også kommer til å stemme for forslag til vedtak I, med den samme begrunnelsen. Det skal ikke være tvil om at tjenestene skal styrkes, en begrunnelse som er i tråd med vårt uttalte og klare mål om å øke kapasiteten i psykisk helsevern. Det bygger på målene i opptrappingsplanen for psykisk helse og arbeidet regjeringen allerede har satt i gang. Arbeiderpartiet legger til grunn at vi stemmer for forslaget, med mål om å stoppe en nedbygging av totalkapasiteten, i det tilbudet som tilbys innenfor distriktspsykiatriske sentre og psykisk helsevern. Dette er derfor å anse som en stemmeforklaring. Jeg ser fram til et spennende helsepolitisk 2026 sammen med gode kollegaer i helse- og omsorgskomiteen. Denne debatten vitner om en god start på det året vi nå er på vei inn i."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kristian August Eilertsen,FrP,Right,hovedinnlegg,"Kristian August Eilertsen (FrP) [11:10:08]: Bare for å ta det siste først, som ble sagt fra representanten fra Miljøpartiet De Grønne. Når det gjelder de tre DPS-ene i Troms, er det ingen utfordringer med å rekruttere personell. Man har hatt et stabilt fagmiljø over lang tid, så det er ingen problemer der, men man har fått et problem nå, når man har gjort et vedtak om å legge ned og avvikle de døgntilbudene som er der. Da har problemet oppstått, men før det var det ikke noe problem. Når det gjelder spørsmålet om økonomi, har Fremskrittspartiet både i nysalderingen av budsjettet for i fjor og i vårt alternative budsjett lagt inn betraktelig med midler til bl.a. Helse nord for å kunne ha disse døgntilbudene i framtiden, så argumentet som framføres fra Miljøpartiet De Grønne om at det ikke er personell og ikke følger med penger, faller på steingrunn når man ser på hva Fremskrittspartiet har gjort tidligere i denne salen. Så over til innlegget fra representanten Svardal Bøe og Høyre. Man snakker om at lokalisering ikke har noe å si, det viktigste er at man får et tilbud, men lokalisering har faktisk noe å si, for hvis det er stor avstand til tilbudet, øker det terskelen for de sykeste syke når det gjelder å oppsøke hjelp. Terskelen øker også for å kunne involvere de pårørende i behandlingsforløpet, og for at de pårørende skal kunne besøke sine nære og kjære. Derfor har lokalisering noe å si. Det virker som at partiet Høyre er komfortabelt med at man sentraliserer bort alle døgntilbudene i Troms og legger det til den store byen i Troms fylke, som er Tromsø. Det mener tydeligvis partiet Høyre er bra. Når Fremskrittspartiet forsøker å stoppe dette, fordi statsråden ikke vil gripe inn, mener partiet Høyre at dette er en hopp-og-sprett-politikk. Det er hopp-og-sprett-politikk å forsøke å berge et viktig tilbud i distriktene i Troms. Det synes jeg også er interessant. Hadde representanten fra Høyre turt å si det samme hvis han hadde besøkt disse døgntilbudene? Hadde han turt å si til de ansatte, si til de pårørende, si til pasientene at det er hopp-og-sprett-politikk å skulle stoppe nedleggelsen av deres tilbud eller av deres arbeidsplass? Det er helt utrolig at man får seg til å si noe sånt. Man kan ikke bare stille opp i lokalavisen og si at man er bekymret for nedleggelsen og bekymret for at det skal kuttes i plasser, men så vil man ikke løfte en finger i denne salen for å stoppe disse alvorlige kuttene som skjer. Til slutt. Representanten fra Arbeiderpartiet nevnte at man hadde tillit til de faglige vurderingene som blir gjort, men det finnes ingen faglige argumenter for å legge ned disse døgntilbudene i Troms fylke. Jeg håper at representanten fra Arbeiderpartiet eller noen andre fra regjeringspartiet kan redegjøre for de faglige argumentene for å sentralisere bort disse viktige døgntilbudene i Troms fylke."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kjersti Toppe,Sp,Center,hovedinnlegg,"Kjersti Toppe (Sp) [11:13:24]: Oppbygginga av DPS under opptrappingsplanen på byrjinga av 2000-talet var ei politisk satsing på eit desentralisert psykisk helsevern. No ser vi at det skjer ei nedbygging av distriktspsykiatriske senter, og fleirtalet i denne salen karakteriserer det som ei fagleg utvikling politikarar ikkje har kompetanse til å bry seg med. Det reagerer eg på. Når representanten Langballe Dalin seier han har tatt ein telefon til si eiga fagforeining, Legeforeningen, reagerer eg òg, for han kan jo kanskje heller sjå kva dei skriv i høyringa. Der skriv dei at dei i lang tid har meldt si bekymring for nedlegging av døgnplassar i psykisk helsevern og følgjene dette får for dei mest alvorleg psykisk sjuke pasientane. Representanten frå Miljøpartiet Dei Grøne seier han har meir tru på dei polikliniske tenestene. Det har sjølvsagt alle, men Legeforeningen skriv heilt korrekt at spørsmålet er om vi no har nådd eit punkt der det ikkje lenger er fagleg forsvarleg med ytterlegare reduksjon i døgnkapasitet. Når ein no godtar, altså fleirtalet her, at 40 pst. av døgnkapasiteten til psykosepasientar i Telemark vert lagd ned, forstår eg ikkje korleis ein kan la vera å ha nokre overordna føringar for korleis DPS-strukturen i Noreg skal vera. Det er stor støtte til den konkrete, fagleg forankra og tidfesta opptrappingsplanen for DPS og døgnkapasitet i psykisk helsevern, men eg fryktar no, med den siste stemmeforklaringa frå Arbeidarpartiet, at dette berre vil handla om den totale kapasiteten, ikkje om DPS. Det som var utgangspunktet for heile forslaget, var at vi er bekymra for at DPS-strukturen i Noreg sakte, men sikkert vert lagd ned. Fleire viser til at dei er opptatt av det lokale sjølvstyret. Senterpartiet er opptatt av det lokale sjølvstyret, men ærleg tala: Eit føretaksstyre er ikkje eit lokalt sjølvstyre. Der sit det ikkje folkevalde. Det er bedriftsøkonomiske styre som sit der på nåde frå ein helsestatsråd eller eit overordna føretak og har bedriftsøkonomiske målsetjingar, som er det overordna. Det er ikkje eit lokalt sjølvstyre. Det folkevalde organet som styrer den statlege spesialisthelsetenesta, sit her, og da må òg vi ta ansvar. Når det gjeld mangelen på psykiatrar i Seljord, har føretaket sagt nei til delt stilling. På folkemøtet i Seljord var det nokon frå kommunen som sa: Ja, vi manglar sjukepleiarar på sjukeheimen, men vi legg ikkje ned sjukeheimen for det."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Trine Fagervik,Sp,Center,hovedinnlegg,"Trine Fagervik (Sp) [11:16:43]: Oppbyggingen av distriktspsykiatriske sentre skulle sikre desentralisert behandling, bidra til godt samarbeid om pasientene med kommunene og inngå som en del av det helhetlige behandlingstilbudet innen psykisk helse. Likevel kan vi stadig lese om tilbud i hele landet som står i fare for å bli kuttet kraftig eller lagt ned. Vi hører historier og erfaringer fra pasienter, familie og støtteapparat om pasienter som ikke får tilbudet som trengs for å få hjelp og oppfølging, selv om de har stort behov for helsehjelp. Et eksempel kunne vi lese i en VG-sak fra desember, der det vises til en systematisk nedbygging av det distriktspsykiatriske tilbudet i Vesterålen og Lofoten over flere år, til tross for at det i oppdragsbrev fra departementet gjentatte ganger er blitt pekt på at slike tilbud skal styrkes. I 2014 gikk man fra tre til ett behandlingstilbud, og tjuefire døgnplasser ble redusert til åtte. Nå skal Vesterålen, med sine åtte gjenværende døgnplasser, dekke et stort geografisk område med rundt 56 000 mennesker. I 2024 ble også disse plassene foreslått lagt ned. Det ble heldigvis stoppet. I VG kunne vi lese om psykiater Reiulf Ruud, som på 1980-tallet flyttet til Nord-Norge og bygget opp det psykiatriske tilbudet i Vesterålen, som ifølge VG ble landsledende. Føringen den gangen og det som for psykiater Ruud ble avgjørende for at han flyttet til Vesterålen, var at det skulle være høyest mulig kompetanse, nærmest der folk bor. Det må fortsatt være en føring. Folk må få den hjelpen de trenger, nærmest mulig. Politiet i Lofoten og Vesterålen melder på sin side om minst 10–15 politioppdrag i måneden, som ofte varer mellom 2 og 18 timer per oppdrag, hvor politiets ressurser ubetinget låses til helseoppdrag. Politiet i Vesterålen og Lofoten melder om økte kostnader som følge av reduksjonen i helsetilbudet og om at andre politioppgaver må nedprioriteres. Slike signaler får vi også fra Helgeland og øvrige områder der avstandene er store, og sannsynligvis vil vi få slike beskrivelser om Seljord og Storsteinnes, mfl., blir lagt ned. Det kan ikke være sånn at politiet skal finansiere sentralisering og nedleggelse av distriktspsykiatriske tilbud. Utviklingen er og har vært bekymringsfull. Vi trenger derfor denne gjennomgangen av tilbud innen psykisk helsevern og en tidfestet plan for utvikling av distriktspsykiatriske sentre, og vi må hindre nedbygging av slike tilbud."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Seher Aydar,R,Left,hovedinnlegg,"Seher Aydar (R) [11:19:56]: Først til helsepersonellmangelen: La oss slå fast at man ikke løser det ved å legge ned helsetilbud. Det er problemer som noen steder har vedvart, men som ikke har blitt løst. De som jobber i disse avdelingene, har mange ganger bedt om at arbeidsvilkårene må bli bedre hvis de skal kunne stå i jobb. Det har ikke blitt løst. Dette er ikke bare et problem som har blitt skapt med denne regjeringen, det er et problem som har vedvart lenge før, men det er på tide å løse det. Løsningen er ikke at folk mister helsetilbud. Det andre jeg vil påpeke, er at det egentlig er litt interessant å høre alle som mener vi ikke skal gripe inn og stoppe nedleggelse av helsetilbud, fordi vi ikke har den faglige kunnskapen. Problemet er at det for det første ikke er faglig kunnskap som ligger bak f.eks. nedleggelsene i Troms, de er økonomisk begrunnet. For det andre er det ikke lokalt bestemt. Representanten Toppe var inne på det. Helseforetakenes styre er ikke lokale representanter, de er ikke på valg, de har ikke noe folkevalgt mandat, og mange av dem bor ikke engang i de fylkene eller regionene de faktisk skal ta avgjørelser for. De er altså ikke valgt av folket, og mange av dem bor ikke engang der de skal ta store avgjørelser som handler om hva slags helsetilbud folk skal ha. Det er viktig å minne om det min kollega fra Rødt i Troms, Hanne Stenvaag, var inne på tidligere i dag, med tanke på hva det betyr for Troms, og avstandene der, når man sentraliserer. Derfor er det ikke godt nok å si at man skal øke tilbudet sentralt, for også distriktene må være trygge. Det er noe paradoksalt med at vi på den ene siden snakker om at folk skal bo i hele Norge, men på den andre siden gjør vi det ganske uattraktivt å bo i hele Norge hvis man får et helseproblem, enten det er psykisk eller fysisk. Det er det som er problemet når man legger ned tilbud lokalt og sentraliserer det, spesielt i landsdeler hvor avstandene er store. Vi ser samtidig at det er enorme kutt også i de store byene. Det er det som er problemet her: Vi ser kutt på kutt på kutt og nedleggelse etter nedleggelse, og så får vi beskjed om at vi som er folkevalgte, som har fått tillit av folk til å representere dem, ikke skal sette foten ned og stanse nedleggelsene. Da er spørsmålet mitt: Hvem sitt ansvar er det? Hvem er det som har ansvar for at distriktene i Troms har et psykisk helsetilbud, hvis vi som sitter her, ikke skal ta det ansvaret? Er det helseforetakene, og så skal vi si at vi håper – inshallah – at de tar det ansvaret? Det holder ikke. Som folkevalgte er vi nødt til faktisk å ta politisk ansvar for at befolkningen – uansett om de bor i et distrikt eller i en by – har helsehjelp. Spesielt kan vi stanse all nedleggelse fram til denne planen regjeringen snakker om at de skal legge fram og faktisk gjennomføre, er gjennomført."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kristian August Eilertsen,FrP,Right,hovedinnlegg,"Kristian August Eilertsen (FrP) [11:26:23]: Denne saken har en større betydning enn bare det å gi behandling til pasienter som har psykisk sykdom. Den handler også om å opprettholde bosetting i landet. For å kunne opprettholde bosetting i distriktene er det viktig å opprettholde tilbudene som er der. Det som nå skjer i Troms, er en storstilt sentralisering av tilbud – bort fra distriktene og inn til de største byene. Det vil være med på å spenne bein under muligheten for å opprettholde bosettingen i distriktene i Troms og Nord-Norge framover. Jeg synes det er veldig leit at partiet Høyre velger å være haleheng og støttehjul for regjeringspartiet Arbeiderpartiet i denne saken og sørger for at de får flertall for at denne sentraliseringen kan fortsette, i stedet for at de slutter seg til resten av opposisjonen og sørger for at man stopper disse ufornuftige nedleggelsene og sentraliseringene. Jeg må også si om innlegget fra statsråden nå nettopp at det nesten var som om han abdiserte fra talerstolen. Han sa at han ikke har peiling på det helsefaglige tilbudet i f.eks. Troms, og at han overlater til helseforetakene å styre det etter eget forgodtbefinnende. Han burde i det minste klare å framføre et faglig argument for hvorfor det er fornuftig å gjøre det. Det er da et tegn på at han ikke har satt seg inn i saken og heller ikke funnet fram til de faglige argumentene for å gjøre dette. Det illustrerer hele poenget i denne saken: Det handler om økonomi, det handler ikke om fag. Hvis man lytter til de faglige argumentene i saken, er det altså ikke noe som tilsier at man skal legge ned og sentralisere døgntilbudene i Troms fylke. Fra statsrådens side snakker man også om at det er viktig å ha et godt tilbud over hele landet. Det er alle sammen enig i, men det vi ser i praksis, er at disse tilbudene er i ferd med å forsvinne mange steder i landet. Likevel folder man sine hender i denne salen, og man velger ikke å gripe inn og stoppe det som er i ferd med å skje. Det er veldig trist, synes Fremskrittspartiet, både på vegne av de ansatte som jobber der og utøver disse tjenestene i dag, og ikke minst på vegne av pasientene og de pårørende, som i dag har store lidelser, og som i dag får god hjelp på disse plassene, bl.a. i Troms og i Telemark, men som kommer til å miste tilbudet i sitt nærmiljø framover. Det kommer til å heve terskelen for å søke hjelp. Det kommer til å heve terskelen for å få hjelp. Det kommer med stor sannsynlighet også til å føre til at liv går tapt, fordi vi ikke har et godt tilbud i distriktene i Troms. Jeg vil derfor komme tilbake til poenget at man her altså har en mulighet til å stoppe det. Noen partier i denne salen, bl.a. Fremskrittspartiet, forsøker å gjøre det. Andre partier mener tydeligvis at det er hopp-og-sprett-politikk. De folder sine hender. De står og raser i lokalavisene over at dette skjer, men de er ikke villig til å løfte en finger i Stortinget for å stoppe det som nå er i ferd med å skje. Det håper jeg at innbyggerne i dette landet merker seg."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Erlend Svardal Bøe,H,Right,hovedinnlegg,"Erlend Svardal Bøe (H) [11:34:08]: Det er veldig mye retorikk fra Fremskrittspartiet i denne salen. Jeg tror FrP skal passe seg litt for å beskylde Høyre for sentralisering, når det er FrP som vil legge ned helseforetakene og flytte all makt til et sykehusdirektorat i Oslo. Det vil gjøre at en fjerner veldig mange av beslutningene bort fra pasientene ute i landet vårt. Når Eilertsen snakker om Høyre her fra talerstolen, virker det som om han har et slags eierskap til virkeligheten og til Høyres politikk. Høyres politikk på dette området er veldig tydelig. Det var vi som gikk i bresjen for å stoppe nedbyggingen av plassene innenfor psykisk helsevern da vi behandlet opptrappingsplanen for psykisk helse. Det var vi som var med på å legge føringer for at en skulle legge til grunn framskrivingene fram mot 2040, som vil si at en skal øke antallet plasser med 430, og vi har også vært veldig tydelige på at vi er nødt til å gjøre noe med andelen avviste pasienter framover. Når det gjelder Troms, har jeg vært på besøk på veldig mange av de institusjonene lenge før Fremskrittspartiet var på besøk der. Jeg har snakket med de ansatte og snakket med pasientene der, og det er ingen tvil om at en trenger å ha et desentralisert tilbud, men da må en også forholde seg til virkeligheten. Det er ikke snakk om å legge ned alle de distriktspsykiatriske sentrene, det er snakk om å gjøre noen endringer i døgnplasser opp mot det polikliniske tilbudet. Her framstilles det som at nå skal alt legges ned i distriktene. Det er ikke riktig i det hele tatt. Så blir min utfordring tilbake igjen til Fremskrittspartiet når en snakker om Troms: Er en da imot den byggingen av UNN Åsgård som nå skal komme, som vil være kjempeviktig? Det er et lokale fra 1961, et dårlig lokale, som er nedslitt, og som ikke representerer en verdig behandling for pasienter innenfor psykisk helsevern i hele tatt. Skal en nå sette det i spill, så en ikke får satt i gang med den byggingen, som gjelder et bygg tilbake igjen til ca. 1960? Det er på en måte det en setter det opp mot når en bruker argumentasjonen om sentralisering. Hvis en ikke skal gjøre noen grep, vil en ikke få realisert UNN Åsgård. Det er realiteten, og det er realiteten en er nødt til å forholde seg til. Jeg er også veldig bekymret for den overstyringen vi holder på med fra Stortinget her. Det ser vi også fra Fremskrittspartiet, som nå er på vei til å bygge ned UNN som et universitets- og regionsykehus fordi en skal splitte opp veldig mange spesialisthelsetjenester i Helse nord, som har et svakt pasientgrunnlag, og som har store utfordringer med helsepersonell. En slik nedbygging blir realiteten når en overstyrer på den måten en gjør nå. Bare noen får mer oppmerksomhet i media, skal en kaste seg inn i det, men helheten er en tydeligvis ikke så opptatt av. La meg være helt tydelig: Høyre vil øke antallet døgnplasser i psykisk helsevern, vi vil ha et desentralisert tilbud, og vi vil gjøre noe med andelen avviste pasienter, som har økt altfor mye de siste årene."
2026-01-06,refs-202526-01-06,Møte tirsdag den 6. januar 2026,Kjersti Toppe,Sp,Center,hovedinnlegg,"Kjersti Toppe (Sp) [11:50:41] (leiar i komiteen): Senterpartiet støttar proposisjonen utanom dei to endringane, som eg vil gå inn på, og eg må seia at det er veldig gledeleg at det no ser ut til å verta eit einstemmig storting som meiner det same som Senterpartiet har stått for i innstillinga. Det er veldig bra for norske helsetenester. Når det gjeld § 21 nytt andre ledd bokstav c i helsepersonellova, som omhandlar dette med private formål, kom det veldig tidleg fram er at ein her hadde tråkka feil i departementet. Ein kan forstå intensjonen, men når det er forklart av omsyn til rettferdig prioritering, ikkje med vern av pasienten, har ein gått litt feil frå byrjinga av. Departementet skreiv òg at «uttrykket ‘private formål’ skal forstås vidt», og det vart eksemplifisert i innstillinga at ein skal forstå dette slik at ein får opplysningar for å ivareta andre sine interesser, som f.eks. «en ektefelle, egne barn, slekt, venner, kolleger og naboer». Dette ville eigentleg ha ramma alle legar i heile Noreg, og det ville ha hindra det store samfunnsbidraget alle bidrar med. Eg vil òg tru at det ville ha auka helsekøane i Noreg, så det ville vore eit veldig spesielt vedtak å gå vidare med. Eg er veldig glad for at komiteen har tatt høyringsinnspela på alvor og ikkje vedtar akkurat denne endringa. Dei andre forslaga i proposisjonen er jo einstemmige, og dei er sjølvsagt veldig viktige. Det dette ville ha ført til, var at om ein som lege gjekk inn og fekk ein del helseopplysningar frå ein person ein ikkje var sett til å behandla, ville den handlinga verta likestilt med misbruk av teiepliktig pasientinformasjon, journalsnoking og brot på teieplikta, og det ville kunna føra til bøter og fengsel i opptil eitt år. Det var faktisk eit veldig oppsiktsvekkjande forslag. Når det gjeld helsepersonellova § 21 tredje ledd, om å fjerne unntaket når opplysningane er anonymiserte, var det òg eit feiltrinn frå departementet, der ein sidestilte anonyme opplysningar med avidentifiserte opplysningar. Eg meiner òg det er rett at ein ikkje fjernar dette unntaket, slik at ein kan bidra til kvalitetsutvikling i helsetenestene."
2026-02-24,refs-202526-02-24,Møte tirsdag den 24. februar 2026,Stig Atle Abrahamsen,FrP,Right,hovedinnlegg,"Stig Atle Abrahamsen (FrP) [10:09:05] (ordfører for saken): Innledningsvis vil jeg takke helse- og omsorgskomiteen for et godt samarbeid om behandlingen av en sak som vil ha stor betydning for helsetjenestene til våre innbyggere i Sogn og Fjordane. Saken dreier seg om den krevende økonomiske situasjonen i helseforetaket Helse Førde og de foreslåtte tiltakene som påvirker lokalsykehusene i Lærdal og Nordfjord spesielt sterkt. Temaet som har vært oppe, er å fjerne ortopedisk behandling ved Lærdal sjukehus, kutt i barselomsorgen ved både Nordfjord sjukehus og Lærdal sjukehus, endringer i ambulansedekning og tilbudet med skadepoliklinikk. Komiteen har gjennomført en skriftlig høring, og det har kommet inn 21 skriftlige innspill til høringen. Saken har generert stort lokalt engasjement og en veldig opplysende og god debatt. Fra Fremskrittspartiets side har vi gått inn for å kunne beholde gode tilbud som har blitt bygd opp over lang tid, som er etablert, og som lokalbefolkningen setter stor pris på og kjenner seg avhengig av for å ha trygghet for liv og helse. Fremskrittspartiet har også tidligere denne måneden hatt oppe forslag som ville ha ordnet denne finansieringssituasjonen som er så kritisk ute i sykehusene. Dessverre fikk vi ikke flertall for å ordne det overordnede problemet, men jeg håper at vi nå i dag kan gå inn og i hvert fall løse noen av utfordringene for dem som ser sterke kutt i sine lokale sykehus i Helse Førde. Det er også et element i behandlingen av denne saken Fremskrittspartiet har reagert sterkt på. Når Stortinget har en sak til behandling om de konkrete tiltakene som er foreslått, om å kutte i behandlingstilbudet, særskilt på Lærdal sjukehus og Nordfjord sjukehus, er det også en forventning om at ikke byråkratiet foregriper hva som blir utfallet av saken. Det mener vi er statsrådens ansvar å påse at ikke skjer, men likevel ser vi at det lokale helseforetaksstyret har fattet et sluttvedtak bare noen uker før klubben skal gå i Stortinget på om en skal opprettholde ortopedisk kirurgi ved Lærdal sjukehus. Jeg vil på det sterkeste gjøre oppmerksom på at statsråden er underlagt Stortinget, og det er også helsebyråkratiet."
2026-02-24,refs-202526-02-24,Møte tirsdag den 24. februar 2026,Kai Steffen Østensen,A,Left,hovedinnlegg,"Kai Steffen Østensen (A) [10:12:24]: Lokalsykehusene våre er viktige grunnsteiner for trygghet, kompetanse og levende bygder over hele Norge. Arbeiderpartiet er enig i intensjonen i forslaget som nå behandles i Stortinget. Likevel mener vi at forslag som går langt inn i faglige vurderinger, best avklares av fagmiljøene selv. Det er et viktig prinsipp som skiller politikernes ansvar fra fagfolkenes kompetanse. Det utelukker ikke endringer i styringen av helsetjenesten, men det må bygge på helhet – en helhet ingen går i fakkeltog for. Ja, det er utfordringer med foretaksmodellen. Det viser også det viktige engasjementet fra dem som berøres av endring i helsetjenester. Derfor varsler regjeringen en helsereform, som også komiteen drøfter, om hvordan tjenesten skal styres, utvikles, finansieres og organiseres framover. Jeg har stor respekt for at vi vurderer dette ulikt, men selv kommer jeg fra en region hvor vi har utfordringer med tilgang på helsepersonell og faglige ressurser. Jeg mener at vi skal være varsomme med å gå inn og detaljstyre, særlig når man ikke har noen god løsning for å håndtere konsekvensene. Når det er sagt, skal Stortinget gi retning i arbeidet, og for Arbeiderpartiet er det helt klart at vi skal ha lokalsykehus i Lærdal og Nordfjord. Innstillingen i saken er krevende å følge fordi det har skjedd endringer underveis i komiteens behandling, bl.a. et vedtak fra Helse Førdes styremøte 29. januar, der de har nedjustert forslagene til endringer kraftig. Jeg er glad for det, og Arbeiderpartiet støtter derfor Miljøpartiet De Grønnes løse forslag om at de nå i sitt videre arbeid må legge en plan for hvordan de desentraliserte polikliniske tilbudene ytterligere kan styrkes for pasientene. Det peker framover, mot hvordan lokalsykehuset kan få enda mer aktivitet som kommer innbyggerne til gode. I en sånn plan er det viktig at de vurderer helseberedskapen i regionen, med mål om å sikre gode, tilgjengelige og desentraliserte helsetjenester i Sogn og Fjordane. Arbeiderpartiet har en klar forventning om at dette arbeidet kommer i gang, og at sykehusledelsen fortsetter å sikre bred involvering av tillitsvalgte, vernetjeneste og lokalsamfunnet, der folk lever og bor. Det siste halvåret har Sogn og Fjordane vist oss at vi får til bedre løsninger for vår felles helsetjeneste når vi jobber sammen. Til slutt en kort stemmeforklaring: Arbeiderpartiet vil støtte komiteens tilråding og det løse forslaget fra Miljøpartiet De Grønne om å følge opp styrevedtaket i Helse Førde fra 29. januar 2026. Vi vil videre stemme mot mindretallets forslag fra komiteens innstilling."
2026-02-24,refs-202526-02-24,Møte tirsdag den 24. februar 2026,Erlend Svardal Bøe,H,Right,hovedinnlegg,"Erlend Svardal Bøe (H) [10:15:26]: Vi ser en utvikling der sykehusene i økende grad tar beslutninger basert på økonomi og i mindre grad basert på medisinske vurderinger. Det kan godt være at vi må gjøre endringer i pasienttilbudet i sykehusene fordi medisinen utvikler seg, men det har blitt vanskeligere for folk å se hvilke beslutninger som er basert på hva, og det mener jeg er en utvikling som kan skade tilliten til helsetjenesten. Situasjonen vi nå ser i Helse Førde, er i stor grad et resultat av den helsepolitikken som har blitt ført av Arbeiderpartiet og Senterpartiet de siste fire årene. Sykehusene sliter kraftig økonomisk, flere pasienter får nei til helsehjelp, og det kuttes i pasienttilbud. Det er ikke vanskelig å forstå den frustrasjonen mange i Lærdal og Nordfjord kjenner på, når Arbeiderpartiet og Senterpartiet nok en gang på sin vakt kutter i viktige pasienttilbud i Helse Førde. Vi må være ærlige med folk. Vi kan gjøre fine vedtak her i salen i dag som sier at det ikke skal gjøres noen endringer, at vedtaket til styret i Helse Førde skal reverseres, men det vil ikke endre på den økonomiske situasjonen Helse Førde står i, som går ut over pasienttilbudet. Det er veldig frustrerende at de partiene her i salen som roper høyest, er de samme partiene som har flertall for å vedta statsbudsjettet, der sykehusenes økonomiske rammer bestemmes. Det mener jeg er dobbeltmoralisme, og det viser manglende evne til å ta ansvar for den vanskelige økonomiske situasjonen sykehusene står i, som også er grunnen til at en nå gjør justeringer i pasienttilbudene. Høyre mener vi må ha et utgangspunkt i helsepolitikken der vi spesialiserer der vi må, og desentraliserer der vi kan. Det er grunnen til at Høyre styrker bl.a. sykehusøkonomien betydelig mer enn de rød-grønne partiene gjorde i sin budsjettenighet. Det er også grunnen til at Høyre vil at sykehusene skal få mer betalt jo flere pasienter som behandles, slik at ventetidene går ned. Begge deler ville bidratt til at Helse Førde hadde stått i en helt annen økonomisk situasjon enn de gjør nå. Vi mener at man på sikt er nødt til å gjøre endringer i organiseringen og finansieringen av helseforetakene. Til slutt er jeg veldig glad for at en samlet komité stiller seg bak Høyres forslag om at forsvars- og beredskapsevne bedre må inngå i vurderingsgrunnlaget når sykehusstruktur og helseberedskap skal vurderes. Er det noe Høyre er kritisk til i denne saken, er det at kommunene ikke er godt nok involvert, og at helseberedskapen heller ikke er godt nok vurdert mot denne saken. Med det støtter vi komiteens tilråding."
2026-02-24,refs-202526-02-24,Møte tirsdag den 24. februar 2026,Marian Hussein,SV,Left,hovedinnlegg,"Marian Hussein (SV) [10:18:43]: Lokalsykehus rundt omkring i landet opplever stadig presset økonomi. De opplever også at stadig flere spøkelser henger over dem, og fagmiljøer blir stadig vekk utfordret av disse spøkelsene. Forrige uke var jeg og besøkte Lærdal sjukehus. Der har avgjørelsene i Helse Førde nå ført til at mange helsepersonell som har et ønske om å jobbe i Lærdal, har sagt opp jobbene sine. Lokalsykehus er et nav i lokalsamfunn rundt omkring i landet vårt som sikrer trygghet – trygghet for at folk kan bosette seg der og vite at de får helsehjelp når de trenger det. Som mamma vet jeg at det er viktig å ha en skadelegevakt og ortopediske miljøer tilgjengelig når barnet ditt brekker en kroppsdel. Jeg vet også at ortopedi ikke er noe man dør i påvente av, og at veldig mange lokalsykehus bruker mye av ortopedikompetansen sin til planlagte operasjoner, istedenfor øyeblikkelig hjelp, som mitt lokalsykehus på Ahus gjør. Tellekantene i helsevesenet vårt blir altså brukt på ganske ulike måter. I Lærdal har de en ortopediavdeling som har markert seg godt. De har bygget et fagmiljø på det vi pleier å snakke om i denne salen; de deler oppgaver, og veldig mange av sykepleierne og de ulike faggruppene, som fysioterapeuter og diverse andre, har ganske klare roller. Det er ikke bare ortopeden som er viktig. Jeg var også i en fullsatt sal i Lærdal, hvor folk kjemper med nebb og klør for sykehuset sitt, for ortopediavdelingen sin. For mange handler dette om trygghet. Folk har ikke lyst til å reise til verken Bergen eller Førde for å få helsehjelp. De har lyst å ha lokalsykehuset sitt. Vi i SV støtter de forslagene som har blitt lagt fram av Senterpartiet, om å beholde lokalsykehuset i Lærdal."
