primary_function_no,primary_function_en,primary_topic_no,primary_topic_en,category,url,title,published_date,published_time,paragraph_type,paragraph_id,paragraph_nwords,doc_id,paragraph_uid,year,month
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,15,29,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p15,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,16,44,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p16,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,17,97,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p17,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,18,47,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p18,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,19,23,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p19,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,p,20,15,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p20,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-26-rate/,Norges Bank,2026-03-26,10:00,li,21,5,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_26_rate__p21,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-19-regional-network/,Norges Bank,2026-03-19,10:00,p,6,96,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network__p6,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-19-regional-network/,Norges Bank,2026-03-19,10:00,p,7,81,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network__p7,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-19-regional-network/,Norges Bank,2026-03-19,10:00,p,8,41,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network__p8,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-19-regional-network/,Norges Bank,2026-03-19,10:00,p,9,18,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network__p9,2026,3
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-03-19-regional-network/,Norges Bank,2026-03-19,10:00,p,10,25,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_03_19_regional_network__p10,2026,3
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,li,5,4,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p5,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,p,6,94,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p6,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,p,7,21,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p7,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,p,8,76,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p8,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,p,9,16,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p9,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,p,10,28,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p10,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-fx/,Norges Bank,2026-02-27,10:00,p,11,100,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_fx__p11,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,li,5,5,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p5,2026,2
Økonomisk situasjonsbeskrivelse / diagnose,Economic assessment / diagnosis,Finansiell stabilitet og bank,Financial stability and banking,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,6,36,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p6,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,7,12,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p7,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,blockquote,8,28,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p8,2026,2
Økonomisk situasjonsbeskrivelse / diagnose,Economic assessment / diagnosis,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,9,60,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p9,2026,2
Utsikter / fremoverskuende signal,Outlook / forward guidance,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,10,57,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p10,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,11,48,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p11,2026,2
Risiko / usikkerhet,Risk / uncertainty,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,blockquote,12,37,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p12,2026,2
Politikkforklaring / begrunnelse,Policy explanation / justification,Finansiell stabilitet og bank,Financial stability and banking,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,13,61,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p13,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,14,24,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p14,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-02-27-annual-report/,Norges Bank,2026-02-27,10:00,p,15,60,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_02_27_annual_report__p15,2026,2
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,li,5,4,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p5,2026,1
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,p,6,88,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p6,2026,1
Politikkforklaring / begrunnelse,Policy explanation / justification,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,p,7,21,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p7,2026,1
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,p,8,76,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p8,2026,1
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,p,9,16,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p9,2026,1
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,p,10,25,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p10,2026,1
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-30-fx/,Norges Bank,2026-01-30,10:00,p,11,87,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_30_fx__p11,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,li,5,6,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p5,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,p,6,49,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p6,2026,1
Politikkforklaring / begrunnelse,Policy explanation / justification,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,p,7,64,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p7,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Inflasjon og priser,Inflation and prices,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,blockquote,8,35,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p8,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,p,9,114,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p9,2026,1
Risiko / usikkerhet,Risk / uncertainty,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,blockquote,10,20,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p10,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,p,11,85,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p11,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Økonomisk aktivitet og arbeidsmarked,Economic activity and labor market,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,p,12,25,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p12,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Annet / administrativt / ikke kodbar,Other / administrative / not codable,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,p,13,25,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p13,2026,1
Utsikter / fremoverskuende signal,Outlook / forward guidance,Rente og pengepolitisk linje,Interest rates and monetary stance,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2026/2026-01-22-rate/,Norges Bank,2026-01-22,10:00,li,14,5,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate_,https___www_norges_bank_no_en_news_events_news_Press_releases_2026_2026_01_22_rate__p14,2026,1
Institusjonelt ansvar / mandat,Institutional accountability / mandate,Valutakurs og eksterne forhold,Exchange rate and external conditions,Press release,https://www.norges-bank.no/en/news-events/news/Press-releases/2025/2025-12-30-fx/,Norges Bank,2025-12-30,10:00,li,5,4,https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_12_30_fx_,https___www_norges_bank_no_en_news_events_news_Press_releases_2025_2025_12_30_fx__p5,2025,12
